title,description,slug,date,author,image,category,tags,id,Status,docType,relatedDoc1,relatedDoc2,relatedDoc3,relatedDoc4,relatedDoc5,editor_img,editor_bio,coverImage
What is Portflorio?,"Portflorio is a blog template built for Next.js. This is a free template that uses TypeScript and article management using Markdown, while maintaining the speed-up features that are the hallmark of Next.js.",sample.md,2023-12-31,Shoto Morisaki,sample/sample1.jpg,Other,[Sample Markdown],0,,,,,,,,,,
ACM (Association for Computing Machinery) Research Lab,"This project revolves around implementing and understanding the REDCODER model, which is a code generation model. The team aims to evaluate the effectiveness of REDCODER for specific tasks by comparing its performance under different scenarios",ACM_Research_Lab.md,2024-4-1,Shoto Morisaki,project/6/ACM_logo.png,Research,"[ LLM, Natural Language, LangChain, RAG ]",11,"'Published' # 'Draft', 'Pending', 'Published', 'Rewriting'","'Project' # 'Project', 'Article'","""""","""""","""""","""""","""""",'','',
Software Engineering Internship at Tsubasa,"Internship experience is a significant contributor to my development of engineering skills. Most of the work required me to use the serverless framework, and each time, there was a self-education aspect that I can leverage later in my career.",SWE_Internship.md,2024-2-27,Shoto Morisaki,project/5/running.jpg,Project,"[ AWS, Docker, Python Flask, Material-UI, ApexCharts, TypeScript, React]",10,"'Published' # 'Draft', 'Pending', 'Published', 'Rewriting'","'Project' # 'Project', 'Article'","""""","""""","""""","""""","""""",'','',
Takeaway of 8 months Internship as Software Engineer,Wrapping up 8 months of internship at start up software engineering company as a Software Engineer has been an enriching journey. Here's a summary of key takeaways,Takeaway_from_SWE_internship.md,2024-02-20,Shoto Morisaki,sample/sample7.jpg,Blog,"[ Internship, Software Engineering ]",15,"'Published' # 'Draft', 'Pending', 'Published', 'Rewriting'","'Article' # 'Project', 'Article'","""""","""""","""""","""""","""""",'','',
CruzHack 2024 - Sitegeist,"Sitegeist, our technical solution for giving you more problems! We wanted a way to easily analyze trending topics and issues faced by those around us.",CruzHack_Sitegeist.md,2024-1-16,Shoto Morisaki,project/4/project4-demo.gif,Project,"[ RESTfulAPI, React, Typescript, GPTAPI, HuggingFaceModel, ]",4,"'Published' # 'Draft', 'Pending', 'Published', 'Rewriting'","'Project' # 'Project', 'Article'","""""","""""","""""","""""","""""",'','',
Machine Learning Internship at LinkX Japan,"Machine Learning Internship at LinkX Japan, working as Backend / Full Stack engineer. applying RAG system to improve LLM application.",ML_internship_LinkX.md,2024-4-1,Shoto Morisaki,/project/7/writing.jpg,Internship,"[ Internship, LLM, Natural Language, RAG ]",12,"'Published' # 'Draft', 'Pending', 'Published', 'Rewriting'","'Project' # 'Project', 'Article'","""""","""""","""""","""""","""""",'','',
Qiita × Fast DOCTOR Health Tech Hackathon,Medical project to support medical industry with group of University students from California. We had implementation of a visual verification system as a solution. The goal of this approach is to reduce paperwork and streamline processes.,Qiita_FastDoctor.md,2023-6-14,Shoto Morisaki,project/3/projectQiitaFD1.jpeg,Project,"[FastAPI, Flask, GPT API]",3,"'Published' # 'Draft', 'Pending', 'Published', 'Rewriting'","'Project' # 'Project', 'Article'","""""","""""","""""","""""","""""",'','',
Writing README for team project 101,"When a new member joins a project, writing a README with an overview of the project and links to necessary documents will make it easier to understand the project and reduce unnecessary communication costs.",README_for_team.md,'2024-02-24',Shoto Morisaki,,Blog,"[ Coding, README ]",9,"'Published' # 'Draft', 'Pending', 'Published', 'Rewriting'","'Article' # 'Project', 'Article'","""""","""""","""""","""""","""""",'','',/post/5/sample5.jpg
Comprehensive Survey of Hallucination Mitigation Techniques in Large Language Models,A comprehensive survey of techniques developed to reduce hallucinations in LLMs,Hallucination_Mitigation_Technique_RAG.md,2024-02-11,Shoto Morisaki,sample/sample4.jpg,Research,"[Large Language Models, Hallucination Mitigation, Techniques, Survey]",6,"'Published' # 'Draft', 'Pending', 'Published', 'Rewriting'","'Article' # 'Project', 'Article'","""""","""""","""""","""""","""""",'','',
5 things you shouldn't do at hackathon and startup,"When a new member joins a project, writing a README with an overview of the project and links to necessary documents will make it easier to understand the project and reduce unnecessary communication costs.",5_things_hackathon_and_startup.md,2024-04-8,Shoto Morisaki,/post/5/sample5.jpg,Blog,"[ Coding, README ]",14,"'Published' # 'Draft', 'Pending', 'Published', 'Rewriting'","'Article' # 'Project', 'Article'","""""","""""","""""","""""","""""",'','',
